user_id_canon,archetype,predicted_risk,uplift_agent_block_ui,priority_agent_block_ui
u_0,Casual Browser,0.5623262100982096,0.1856914128948836,0.7864127206069558
u_1,Hands-On Builder,0.2875187991059628,0.05898536491063581,0.3616591652191211
u_2,Hands-On Builder,0.2304560090874806,0.08718443469279397,0.7204517750453527
u_3,Onboarding Visitor,0.21856975595912603,0.06033604023280048,0.5723918227895473
u_4,Casual Browser,0.7306981740002,0.07761232708844717,0.9663241851682391
u_5,Casual Browser,0.8004222737895428,0.1425064302926819,0.9465129110200687
u_6,Casual Browser,0.8507710944195558,0.13351971924774814,0.55050333778902
u_7,Hands-On Builder,0.18480186641013244,0.03841909828676761,0.7009448853904336
u_8,Onboarding Visitor,0.41019293380539773,0.07326166625131889,0.7600380855659599
u_9,Power User,0.34973434990572005,0.1215726505621904,0.4422750685476765
u_10,Casual Browser,0.575619196989364,0.14265965443510478,0.5208263790315921
u_11,Hands-On Builder,0.2052622268743936,0.023568425789379278,0.20184250890571173
u_12,Hands-On Builder,0.6085560017364287,0.08672300961207889,0.5156325571652037
u_13,Casual Browser,0.541658770535373,0.15838336190054214,0.6467029120771891
u_14,Casual Browser,0.8359394627594101,0.17097847680930517,0.7884368836777862
u_15,Casual Browser,0.7082365330185971,0.14807646100879734,0.53162876481215
u_16,Casual Browser,0.8550063988010734,0.08137214303570972,1.0017658833665326
u_17,Onboarding Visitor,0.42754908476185066,0.10942425732262248,0.38042865093967676
u_18,Onboarding Visitor,0.2781861683282088,0.10482785845141228,0.358500723561355
u_19,Casual Browser,0.5852405523576611,0.06341976361168865,0.7364998395390492
u_20,Onboarding Visitor,0.5553171992560851,0.06764467346263403,0.549195716620992
u_21,Casual Browser,0.9031820579410835,0.10661303457473226,0.550559660149565
u_22,Casual Browser,0.7218467203585848,0.15371768899551008,0.590302508708141
u_23,Casual Browser,0.6940375021670958,0.0902590137235289,0.5187936674086715
u_24,Onboarding Visitor,0.12544938510343312,0.09272206921639618,0.7029221248262167
u_25,Hands-On Builder,0.44440125056011115,0.13784883465398412,0.7390623218778574
u_26,Casual Browser,0.9757688148776429,0.17169233210920506,0.7236299482214978
u_27,Onboarding Visitor,0.12381086556612016,0.13900408307031425,0.6998609158795122
u_28,Onboarding Visitor,0.14174247492062755,0.14699083537057658,0.7151547743562119
u_29,Casual Browser,0.5872751990226919,0.06149381778086279,0.49679286937446604
u_30,Onboarding Visitor,0.19126728643193613,0.09718377869284685,0.8763246173841757
u_31,Casual Browser,0.6750086185191396,0.1177975156862469,0.9747223629675017
u_32,Casual Browser,0.6594732652222253,0.18037962864691703,0.5431384228370765
u_33,Hands-On Builder,0.11601733753096195,0.04525405828127844,0.33031552502224915
u_34,Hands-On Builder,0.5878548997680135,0.14734412847611064,0.28796280190570794
u_35,Hands-On Builder,0.14184427607987107,0.0959191157361246,0.2968649937793429
u_36,Casual Browser,0.6670940915387837,0.17109523631203633,0.9237132593200872
u_37,Casual Browser,0.5693494018369504,0.07198393739518757,0.7287579798661366
u_38,Power User,0.5051295998717548,0.0356841038662411,0.7480539209179071
u_39,Onboarding Visitor,0.21522630115591282,0.11617651422478843,0.7223784260451438
u_40,Casual Browser,0.7026792843884117,0.0630781130855053,0.8232288994536552
u_41,Onboarding Visitor,0.6043368946581595,0.12436291802512958,0.6804566246050756
u_42,Casual Browser,0.6264428247113665,0.06195286261686761,0.4128490070653993
u_43,Hands-On Builder,0.33001023491704745,0.10199663746857825,0.41824435276351535
u_44,Casual Browser,0.5552676357183775,0.11111314883245282,0.846475525481587
u_45,Power User,0.2640383541633144,0.09560927938068786,0.20654146744037094
u_46,Casual Browser,0.7870555710169234,0.1574443969784759,0.42308386057781544
u_47,Onboarding Visitor,0.12195815794277094,0.05794653068608258,0.7963215877292682
u_48,Onboarding Visitor,0.23073436812794024,0.025114742735516976,0.6788174031844503
u_49,Casual Browser,0.7374328449762506,0.06975042148475719,0.5857588131842408
u_50,Hands-On Builder,0.07241046297913235,0.09245104315875668,0.6815739880830962
u_51,Hands-On Builder,0.37822073548513974,0.0828917495227756,0.7547196683974842
u_52,Hands-On Builder,0.3194343997975769,0.11390814127695853,0.4147559981770709
u_53,Hands-On Builder,0.19725972017809695,0.08136297140055118,0.22522616424943123
u_54,Onboarding Visitor,0.28717210051402103,0.06914241060432307,0.8529453872814141
u_55,Hands-On Builder,0.6008221918617068,0.06573220495307232,0.44162588680694137
u_56,Casual Browser,0.49712260572285627,0.06370256636367344,0.47453723429929445
u_57,Casual Browser,0.6750073539162114,0.10697800823753201,0.7442998099752032
u_58,Casual Browser,0.9045933992123101,0.1966428220534292,0.9379274569648937
u_59,Casual Browser,0.5595183596132539,0.18229778067179242,0.5551531202322915
u_60,Casual Browser,0.6144434659745126,0.10611292938479047,0.5886430350933544
u_61,Casual Browser,0.86315732764974,0.1422913567092921,0.5699004907590082
u_62,Hands-On Builder,0.27810240669822206,0.12862154437496914,0.8941711369821748
u_63,Casual Browser,0.585040538482732,0.1217784071450096,0.5381826136113799
u_64,Casual Browser,0.5145555589074247,0.06251410092502113,0.8028641518762867
u_65,Onboarding Visitor,0.4228950555098883,0.02043146465460961,0.847685249159875
u_66,Casual Browser,1.0,0.13145498098881891,0.5028275982144454
u_67,Hands-On Builder,0.3083255266751108,0.14572151259462296,0.8795979385073902
u_68,Casual Browser,0.8105774245043222,0.15704933591064146,1.063234064076937
u_69,Hands-On Builder,0.19605420588440753,0.01992826680139973,0.8192003909407837
u_70,Hands-On Builder,0.13887477350878247,0.03651052261086079,0.35018956493100156
u_71,Casual Browser,0.4985267612391956,0.16798524005035897,0.8438385392076884
u_72,Casual Browser,0.7672611312390036,0.17780156639387423,0.932624031072868
u_73,Hands-On Builder,0.5073793345737749,0.09647724206640271,0.8902195497375007
u_74,Power User,0.2364619685412546,0.10021924374817431,0.3262966754569593
u_75,Hands-On Builder,0.4056361401586,0.01396724305367385,0.7362181296635075
u_76,Hands-On Builder,0.26490977098893786,0.1259942363414112,0.43716081894897907
u_77,Casual Browser,0.7808117943964556,0.17035852914391614,0.5229385258976016
u_78,Casual Browser,0.6253317470448954,0.09626492017446861,0.6949638588496985
u_79,Casual Browser,0.4451536951706063,0.15921474079517095,0.9556851385040315
u_80,Hands-On Builder,0.16436603283956178,0.04007964489949973,0.5253948625928365
u_81,Onboarding Visitor,0.19143069972773935,0.01564622254721182,0.5762661701421339
u_82,Casual Browser,0.6616461141449531,0.08815911596265283,1.0966115871400848
u_83,Casual Browser,0.7563937219389387,0.08500804274560193,0.6793765096901982
